"ID","Section","Key","English","Greek proposal","Your correction","Status","Notes"
"370","General","","M14 6a4 4 0 0 0 4.5 5.6l-7.9 7.9a2 2 0 1 1-2.8-2.8l7.9-7.9A4 4 0 0 0 14 6Z","","","Needs Greek","Please add/check Greek wording"
"371","General","","M14 6l4 4","","","Needs Greek","Please add/check Greek wording"
"372","General","","M14 6v12","","","Needs Greek","Please add/check Greek wording"
"373","General","","M15 10h3l2 2v2h-5","","","Needs Greek","Please add/check Greek wording"
"374","General","","M15 7v12","","","Needs Greek","Please add/check Greek wording"
"375","General","","M15 9v6","","","Needs Greek","Please add/check Greek wording"
"376","General","","M16 14v2","","","Needs Greek","Please add/check Greek wording"
"377","General","","M16 19v2","","","Needs Greek","Please add/check Greek wording"
"378","General","","M16 5l2 14","","","Needs Greek","Please add/check Greek wording"
"379","General","","M17 10v2","","","Needs Greek","Please add/check Greek wording"
"380","General","","M17 11h3l1 1-1 1h-3","","","Needs Greek","Please add/check Greek wording"
"381","General","","M17 18a1.5 1.5 0 1 0 0 3 1.5 1.5 0 0 0 0-3Z","","","Needs Greek","Please add/check Greek wording"
"382","General","","M17 8v11","","","Needs Greek","Please add/check Greek wording"
"383","General","","M18 11h2","","","Needs Greek","Please add/check Greek wording"
"384","General","","M20 11.5h1","","","Needs Greek","Please add/check Greek wording"
"385","General","","M20 18v2","","","Needs Greek","Please add/check Greek wording"
"386","General","","M3 10h18","","","Needs Greek","Please add/check Greek wording"
"387","General","","M3 11 12 4l9 7","","","Needs Greek","Please add/check Greek wording"
"388","General","","m3 12 9-8 9 8","","","Needs Greek","Please add/check Greek wording"
"389","General","","M3 19h18","","","Needs Greek","Please add/check Greek wording"
"390","General","","M3 8h18","","","Needs Greek","Please add/check Greek wording"
"391","General","","M4 10h16","","","Needs Greek","Please add/check Greek wording"
"392","General","","M4 10h9a4 4 0 0 1 4 4v1H8a4 4 0 0 1-4-4v-1Z","","","Needs Greek","Please add/check Greek wording"
"393","General","","M4 11h16","","","Needs Greek","Please add/check Greek wording"
"394","General","","M4 12h13l3 3v3H4v-6Z","","","Needs Greek","Please add/check Greek wording"
"395","General","","M4 12h16","","","Needs Greek","Please add/check Greek wording"
"396","General","","M4 12h16v3a4 4 0 0 1-4 4H8a4 4 0 0 1-4-4v-3Z","","","Needs Greek","Please add/check Greek wording"
"397","General","","M4 12h16v5a2 2 0 0 1-2 2H6a2 2 0 0 1-2-2z","","","Needs Greek","Please add/check Greek wording"
"398","General","","M4 12h16v6H4z","","","Needs Greek","Please add/check Greek wording"
"399","General","","M4 13h16","","","Needs Greek","Please add/check Greek wording"
"400","General","","M4 14h16","","","Needs Greek","Please add/check Greek wording"
"401","General","","M4 17h16","","","Needs Greek","Please add/check Greek wording"
"402","General","","M4 18h4v-4h4v-4h4V6h4","","","Needs Greek","Please add/check Greek wording"
"403","General","","M4 18v2","","","Needs Greek","Please add/check Greek wording"
"404","General","","M4 6h16v12H4z","","","Needs Greek","Please add/check Greek wording"
"405","General","","M4 7h16v12H4z","","","Needs Greek","Please add/check Greek wording"
"406","General","","M4 8h11l3 3v5H7l-3-3z","","","Needs Greek","Please add/check Greek wording"
"407","General","","M4 9h16v8a2 2 0 0 1-2 2H6a2 2 0 0 1-2-2V9Z","","","Needs Greek","Please add/check Greek wording"
"408","General","","M5 10h14v4a5 5 0 0 1-5 5h-4a5 5 0 0 1-5-5v-4Z","","","Needs Greek","Please add/check Greek wording"
"409","General","","M5 10v10h14V10","","","Needs Greek","Please add/check Greek wording"
"410","General","","M5 14a7 7 0 0 1 14 0","","","Needs Greek","Please add/check Greek wording"
"411","General","","M5 8v11","","","Needs Greek","Please add/check Greek wording"
"412","General","","M6 11v9h12v-9","","","Needs Greek","Please add/check Greek wording"
"413","General","","M6 12V9h5v3","","","Needs Greek","Please add/check Greek wording"
"414","General","","M6 16v4","","","Needs Greek","Please add/check Greek wording"
"415","General","","M6 17V9l6-4 6 4v8","","","Needs Greek","Please add/check Greek wording"
"416","General","","M6 4h10v16H6z","","","Needs Greek","Please add/check Greek wording"
"417","General","","M6 7h12v10H6z","","","Needs Greek","Please add/check Greek wording"
"418","General","","M7 12V8a2 2 0 0 1 2-2","","","Needs Greek","Please add/check Greek wording"
"419","General","","M7 12V9h10v3","","","Needs Greek","Please add/check Greek wording"
"420","General","","M7 16v2","","","Needs Greek","Please add/check Greek wording"
"421","General","","M7 18a1.5 1.5 0 1 0 0 3 1.5 1.5 0 0 0 0-3Z","","","Needs Greek","Please add/check Greek wording"
"422","General","","M7 5v6a3 3 0 0 0 3 3h4","","","Needs Greek","Please add/check Greek wording"
"423","General","","M8 10v4","","","Needs Greek","Please add/check Greek wording"
"424","General","","M8 12h8","","","Needs Greek","Please add/check Greek wording"
"425","General","","M8 14v2","","","Needs Greek","Please add/check Greek wording"
"426","General","","M8 16h5","","","Needs Greek","Please add/check Greek wording"
"427","General","","M8 16h8","","","Needs Greek","Please add/check Greek wording"
"428","General","","M8 19h4","","","Needs Greek","Please add/check Greek wording"
"429","General","","M8 19v2","","","Needs Greek","Please add/check Greek wording"
"430","General","","M8 20v-6h8v6","","","Needs Greek","Please add/check Greek wording"
"431","General","","M8 5 6 19","","","Needs Greek","Please add/check Greek wording"
"432","General","","M8 7h.01","","","Needs Greek","Please add/check Greek wording"
"433","General","","M8 8h8","","","Needs Greek","Please add/check Greek wording"
"434","General","","M8.5 12h7","","","Needs Greek","Please add/check Greek wording"
"435","General","","M9 6a1.5 1.5 0 1 0-3 0v6","","","Needs Greek","Please add/check Greek wording"
"436","General","","M9 7v12","","","Needs Greek","Please add/check Greek wording"
"437","General","","M9 8h6","","","Needs Greek","Please add/check Greek wording"
"438","General","","M9 8v11","","","Needs Greek","Please add/check Greek wording"
"439","General","","M9 8V6h6v2","","","Needs Greek","Please add/check Greek wording"
"440","General","","M9 9v6","","","Needs Greek","Please add/check Greek wording"
"441","General","","M9 9V7a2 2 0 0 1 2-2h2a2 2 0 0 1 2 2v2","","","Needs Greek","Please add/check Greek wording"
"442","AI Assistant","","Magic word: ""Ready over"". Say it when your speech is ready.","","","Needs Greek","Please add/check Greek wording"
"443","Projects","","Make this comment visible on the master plan","","","Needs Greek","Please add/check Greek wording"
"444","Projects","","Manage areas and service teams","","","Needs Greek","Please add/check Greek wording"
"445","Planner","","Manage system users and project assignments for the currently selected project.","","","Needs Greek","Please add/check Greek wording"
"446","Team Members","","Manager","Υπεύθυνος","","Proposal",""
"447","Team Members","","Managers","","","Needs Greek","Please add/check Greek wording"
"448","Projects","","Mark a comment with â€œvisible on the master planâ€ to collect it here.","","","Needs Greek","Please add/check Greek wording"
"449","General","","Mark Important","","","Needs Greek","Please add/check Greek wording"
"450","General","","Measuring tools","","","Needs Greek","Please add/check Greek wording"
"451","Team Members","","Member","","","Needs Greek","Please add/check Greek wording"
"452","Team Members","","Member Assigned To Project","","","Needs Greek","Please add/check Greek wording"
"453","Team Members","","Member Created","","","Needs Greek","Please add/check Greek wording"
"454","Team Members","","Member Deactivated","","","Needs Greek","Please add/check Greek wording"
"455","AI Assistant","","Member Details","","","Needs Greek","Please add/check Greek wording"
"456","Team Members","","Member Permanently Deleted","","","Needs Greek","Please add/check Greek wording"
"457","Team Members","","Member Permission Matrix","","","Needs Greek","Please add/check Greek wording"
"458","Team Members","","Member Permission Updated","","","Needs Greek","Please add/check Greek wording"
"459","Team Members","","Member Phone Check","","","Needs Greek","Please add/check Greek wording"
"460","Team Members","","Member Restored","","","Needs Greek","Please add/check Greek wording"
"461","Team Members","","Member Role Updated","","","Needs Greek","Please add/check Greek wording"
"462","Team Members","","Member Updated","","","Needs Greek","Please add/check Greek wording"
"463","AI Assistant","","member-detail-grid permission-member-detail-grid","","","Needs Greek","Please add/check Greek wording"
"464","Team Members","","member-qualification-badge empty","","","Needs Greek","Please add/check Greek wording"
"465","Team Members","","Members","","","Needs Greek","Please add/check Greek wording"
"466","Team Members","","member-workmode-badge empty","","","Needs Greek","Please add/check Greek wording"
"467","General","","Message","Μήνυμα","","Proposal",""
"468","Projects","","Messages are saved in this project.","","","Needs Greek","Please add/check Greek wording"
"469","General","","meta-pill connection-pill","","","Needs Greek","Please add/check Greek wording"
"470","General","","meta-pill directory-select-status","","","Needs Greek","Please add/check Greek wording"
"471","Team Members","","meta-pill permission-elevated-pill","","","Needs Greek","Please add/check Greek wording"
"472","Audit Log","","meta-pill status-pill-archived","","","Needs Greek","Please add/check Greek wording"
"473","General","","meta-pill team-color-pill connection-pill","","","Needs Greek","Please add/check Greek wording"
"474","Equipment","","meta-row equipment-category-card-pills","","","Needs Greek","Please add/check Greek wording"
"475","General","","Midnight Paper","","","Needs Greek","Please add/check Greek wording"
"476","General","","Mint Desk","","","Needs Greek","Please add/check Greek wording"
"477","General","","More colors","","","Needs Greek","Please add/check Greek wording"
"478","Team Members","","muted permission-matrix-empty","","","Needs Greek","Please add/check Greek wording"
"479","Team Members","","muted permission-matrix-filter-title","","","Needs Greek","Please add/check Greek wording"
"480","Team Members","","muted permission-matrix-helper","","","Needs Greek","Please add/check Greek wording"
"481","Team Members","","muted permission-role-defaults-helper","","","Needs Greek","Please add/check Greek wording"
"482","Projects","","muted project-chat-composer-note","","","Needs Greek","Please add/check Greek wording"
"483","General","","muted section-intro","","","Needs Greek","Please add/check Greek wording"
"484","Team Members","","muted service-team-member-list-empty","","","Needs Greek","Please add/check Greek wording"
"485","Projects","","My Projects","Τα έργα μου","","Proposal",""
"486","General","","My team","","","Needs Greek","Please add/check Greek wording"
"487","General","","Name","Όνομα","","Proposal",""
"488","Planner","","New assignment","Νέο assignment","","Proposal",""
"489","Equipment","","New Category","Νέο κατηγορία","","Proposal",""
"490","Clients","","New Client","Νέο πελάτης","","Proposal",""
"491","Equipment","","New Equipment","Νέο εξοπλισμός","","Proposal",""
"492","Team Members","","New Member","Νέο μέλος","","Proposal",""
"493","Audit Log","","New task is created.","Νέο task is created.","","Proposal",""
"494","General","","New team","Νέο ομάδα","","Proposal",""
"495","General","","No","","","Needs Greek","Please add/check Greek wording"
"496","Projects","","No active projects yet.","Δεν υπάρχουν ακόμα ενεργά έργα.","","Proposal",""
"497","General","","No active user","","","Needs Greek","Please add/check Greek wording"
"498","General","","No active user selected","","","Needs Greek","Please add/check Greek wording"
"499","General","","No address added","Δεν έχει προστεθεί διεύθυνση","","Proposal",""
"500","General","","No address yet.","Δεν υπάρχουν ακόμα διεύθυνση.","","Proposal",""
"501","Audit Log","","No archived projects yet.","Δεν υπάρχουν ακόμα αρχειοθετημένα έργα.","","Proposal",""
"502","Projects","","No area selected","","","Needs Greek","Please add/check Greek wording"
"503","Projects","","No areas yet","Δεν υπάρχουν ακόμα περιοχές.","","Proposal",""
"504","Equipment","","No category","","","Needs Greek","Please add/check Greek wording"
"505","Clients","","No client assigned","Δεν έχει οριστεί πελάτης","","Proposal",""
"506","Clients","","No clients yet. Add the first client on the left.","","","Needs Greek","Please add/check Greek wording"
"507","General","","No collected comments yet","Δεν υπάρχουν ακόμα collected comments.","","Proposal",""
"508","Clients","","No company","","","Needs Greek","Please add/check Greek wording"
"509","Clients","","No company or address","","","Needs Greek","Please add/check Greek wording"
"510","Clients","","No company or address yet.","Δεν υπάρχουν ακόμα company or address.","","Proposal",""
"511","Projects","","No completed projects yet.","Δεν υπάρχουν ακόμα ολοκληρωμένα έργα.","","Proposal",""
"512","AI Assistant","","No contact details","","","Needs Greek","Please add/check Greek wording"
"513","General","","No date","","","Needs Greek","Please add/check Greek wording"
"514","AI Assistant","","No email","","","Needs Greek","Please add/check Greek wording"
"515","Equipment","","No equipment categories yet.","Δεν υπάρχουν ακόμα equipment categories.","","Proposal",""
"516","AI Assistant","","No equipment is available for the selected category.","","","Needs Greek","Please add/check Greek wording"
"517","Equipment","","No equipment yet. Add the first item on the left.","","","Needs Greek","Please add/check Greek wording"
"518","General","","No experience","","","Needs Greek","Please add/check Greek wording"
"519","Projects","","No extra notes.","","","Needs Greek","Please add/check Greek wording"
"520","Projects","","No files from teams or areas yet.","Δεν υπάρχουν ακόμα files from teams or areas.","","Proposal",""
"521","Projects","","No files yet.","Δεν υπάρχουν ακόμα αρχεία.","","Proposal",""
"522","General","","No free teams","","","Needs Greek","Please add/check Greek wording"
"523","Projects","","No general files yet","Δεν υπάρχουν ακόμα general files.","","Proposal",""
"524","General","","No general information yet","Δεν υπάρχουν ακόμα general information.","","Proposal",""
"525","Projects","","No general photos yet","Δεν υπάρχουν ακόμα general photos.","","Proposal",""
"526","General","","No icon","Χωρίς εικονίδιο","","Proposal",""
"527","Projects","","No image files were found in the selected location.","","","Needs Greek","Please add/check Greek wording"
"528","General","","No linked team","","","Needs Greek","Please add/check Greek wording"
"529","General","","No linked team yet.","Δεν υπάρχουν ακόμα linked team.","","Proposal",""
"530","Team Members","","No member matches the current filters.","","","Needs Greek","Please add/check Greek wording"
"531","AI Assistant","","No members available.","","","Needs Greek","Please add/check Greek wording"
"532","Team Members","","No members match the current filters.","","","Needs Greek","Please add/check Greek wording"
"533","Team Members","","No members yet.","Δεν υπάρχουν ακόμα μέλη.","","Proposal",""
"534","Projects","","No notes from teams or areas yet.","Δεν υπάρχουν ακόμα notes from teams or areas.","","Proposal",""
"535","Projects","","No notes yet.","Δεν υπάρχουν ακόμα σημειώσεις.","","Proposal",""
"536","Projects","","No open projects","","","Needs Greek","Please add/check Greek wording"
"537","Projects","","No photos from teams or areas yet.","Δεν υπάρχουν ακόμα photos from teams or areas.","","Proposal",""
"538","Projects","","No photos yet.","Δεν υπάρχουν ακόμα φωτογραφίες.","","Proposal",""
"539","Planner","","No planner access for this project","","","Needs Greek","Please add/check Greek wording"
"540","Projects","","No plans yet","Δεν υπάρχουν ακόμα plans.","","Proposal",""
"541","General","","No position","","","Needs Greek","Please add/check Greek wording"
"542","Team Members","","No project manager","","","Needs Greek","Please add/check Greek wording"
"543","General","","No reference","","","Needs Greek","Please add/check Greek wording"
"544","Team Members","","No selected members in the permission matrix.","","","Needs Greek","Please add/check Greek wording"
"545","General","","No Service Team selected","","","Needs Greek","Please add/check Greek wording"
"546","Projects","","No tasks yet","Δεν υπάρχουν ακόμα εργασίες.","","Proposal",""
"547","General","","No team linked yet","Δεν υπάρχουν ακόμα team linked.","","Proposal",""
"548","AI Assistant","","No teams available","","","Needs Greek","Please add/check Greek wording"
"549","Projects","","No teams planned","","","Needs Greek","Please add/check Greek wording"
"550","General","","No teams yet","Δεν υπάρχουν ακόμα ομάδες.","","Proposal",""
"551","General","","No teams yet.","Δεν υπάρχουν ακόμα ομάδες.","","Proposal",""
"552","General","","No telephone","","","Needs Greek","Please add/check Greek wording"
"553","General","","No telephone added","Δεν έχει προστεθεί τηλέφωνο","","Proposal",""
"554","General","","No text yet.","Δεν υπάρχουν ακόμα text.","","Proposal",""
"555","Team Members","","No users yet. Create the first admin or manager here.","","","Needs Greek","Please add/check Greek wording"
"556","Team Members","","No users yet. Create the first admin or manager on the left.","","","Needs Greek","Please add/check Greek wording"
"557","General","","No Viber room link saved yet.","Δεν υπάρχουν ακόμα Viber room link saved.","","Proposal",""
"558","General","","noopener,noreferrer","","","Needs Greek","Please add/check Greek wording"
"559","General","","Not assigned","","","Needs Greek","Please add/check Greek wording"
"560","Audit Log","","Not created","","","Needs Greek","Please add/check Greek wording"
"561","General","","Not Saved","","","Needs Greek","Please add/check Greek wording"
"562","Projects","","Note","","","Needs Greek","Please add/check Greek wording"
"563","Projects","","Note title","","","Needs Greek","Please add/check Greek wording"
"564","Projects","","note-item-image image-open-trigger","","","Needs Greek","Please add/check Greek wording"
"565","Projects","","Notes","Σημειώσεις","","Proposal",""
"566","General","","Notice","","","Needs Greek","Please add/check Greek wording"
"567","General","","Notifications","","","Needs Greek","Please add/check Greek wording"
"568","General","","OK","","","Needs Greek","Please add/check Greek wording"
"569","General","","Olive Studio","","","Needs Greek","Please add/check Greek wording"
"570","Clients","","Only admins can archive clients.","","","Needs Greek","Please add/check Greek wording"
"571","Equipment","","Only admins can create or edit equipment categories.","","","Needs Greek","Please add/check Greek wording"
"572","Equipment","","Only admins can edit equipment categories.","","","Needs Greek","Please add/check Greek wording"
"573","Team Members","","Only admins can edit the default permissions for each role.","","","Needs Greek","Please add/check Greek wording"
"574","Team Members","","Only admins can permanently delete archived projects.","","","Needs Greek","Please add/check Greek wording"
"575","Team Members","","Only admins can permanently delete Areas.","","","Needs Greek","Please add/check Greek wording"
"576","Clients","","Only admins can permanently delete clients.","","","Needs Greek","Please add/check Greek wording"
"577","Equipment","","Only admins can permanently delete equipment.","","","Needs Greek","Please add/check Greek wording"
"578","Team Members","","Only admins can permanently delete projects.","","","Needs Greek","Please add/check Greek wording"
"579","Team Members","","Only admins can permanently delete Service Teams.","","","Needs Greek","Please add/check Greek wording"
"580","Team Members","","Only admins can restore archived items.","","","Needs Greek","Please add/check Greek wording"
"581","Team Members","","Only admins can restore archived projects.","","","Needs Greek","Please add/check Greek wording"
"582","Team Members","","Only admins can restore archived Service Teams.","","","Needs Greek","Please add/check Greek wording"
"583","Team Members","","Only admins can view the full audit log.","","","Needs Greek","Please add/check Greek wording"
"584","Team Members","","Only admins or assigned managers can archive Areas.","","","Needs Greek","Please add/check Greek wording"
"585","Team Members","","Only admins or assigned managers can archive projects.","","","Needs Greek","Please add/check Greek wording"
"586","Team Members","","Only admins or assigned managers can archive Service Teams.","","","Needs Greek","Please add/check Greek wording"
"587","Clients","","Only admins or assigned managers can change the project client.","","","Needs Greek","Please add/check Greek wording"
"588","Team Members","","Only admins or assigned managers can configure project Viber room.","","","Needs Greek","Please add/check Greek wording"
"589","Team Members","","Only admins or assigned managers can connect Service Teams to Areas.","","","Needs Greek","Please add/check Greek wording"
"590","Team Members","","Only admins or assigned managers can connect Service Teams to items.","","","Needs Greek","Please add/check Greek wording"
"591","Team Members","","Only admins or assigned managers can create Areas.","","","Needs Greek","Please add/check Greek wording"
"592","Team Members","","Only admins or assigned managers can create Service Teams.","","","Needs Greek","Please add/check Greek wording"
"593","Team Members","","Only admins or assigned managers can create tasks for areas.","","","Needs Greek","Please add/check Greek wording"
"594","Team Members","","Only admins or assigned managers can create tasks.","","","Needs Greek","Please add/check Greek wording"
"595","Team Members","","Only admins or assigned managers can disconnect pictures from items.","","","Needs Greek","Please add/check Greek wording"
"596","Team Members","","Only admins or assigned managers can disconnect Service Teams from Areas.","","","Needs Greek","Please add/check Greek wording"
"597","Team Members","","Only admins or assigned managers can disconnect Service Teams from items.","","","Needs Greek","Please add/check Greek wording"
"598","Team Members","","Only admins or assigned managers can edit Areas.","","","Needs Greek","Please add/check Greek wording"
"599","Team Members","","Only admins or assigned managers can edit project setup.","","","Needs Greek","Please add/check Greek wording"
"600","Team Members","","Only admins or assigned managers can edit Service Teams.","","","Needs Greek","Please add/check Greek wording"
"601","Team Members","","Only admins or assigned managers can mark chat messages as important.","","","Needs Greek","Please add/check Greek wording"
"602","Team Members","","Only admins or assigned managers can restore archived Areas.","","","Needs Greek","Please add/check Greek wording"
"603","Team Members","","Only admins or assigned managers can restore archived plan items.","","","Needs Greek","Please add/check Greek wording"
"604","Team Members","","Only admins or assigned managers can save Areas.","","","Needs Greek","Please add/check Greek wording"
"605","Team Members","","Only admins or assigned managers can save Service Teams.","","","Needs Greek","Please add/check Greek wording"
"606","Team Members","","Only admins or assigned project managers can edit Plans.","","","Needs Greek","Please add/check Greek wording"
"607","Clients","","Only admins or managers can create or edit clients.","","","Needs Greek","Please add/check Greek wording"
"608","Clients","","Only admins or managers can edit clients.","","","Needs Greek","Please add/check Greek wording"
"609","Planner","","Only admins, developers, or assigned managers can change this planner entry.","","","Needs Greek","Please add/check Greek wording"
"610","Planner","","Only admins, developers, or assigned managers can delete this planner entry.","","","Needs Greek","Please add/check Greek wording"
"611","Planner","","Only admins, developers, or assigned managers can edit this planner entry.","","","Needs Greek","Please add/check Greek wording"
"612","Equipment","","Only admins, managers, or developers can archive equipment.","","","Needs Greek","Please add/check Greek wording"
"613","Equipment","","Only admins, managers, or developers can edit equipment.","","","Needs Greek","Please add/check Greek wording"
"614","Equipment","","Only admins, managers, or developers can restore equipment.","","","Needs Greek","Please add/check Greek wording"
"615","Equipment","","Only admins, managers, or developers can save equipment.","","","Needs Greek","Please add/check Greek wording"
"616","General","","Open","","","Needs Greek","Please add/check Greek wording"
"617","AI Assistant","","Open a project room, team room, or direct member chat. Attach pictures or files directly in the conversation.","","","Needs Greek","Please add/check Greek wording"
"618","Team Members","","Open a team to see members, linked areas, files, and progress.","","","Needs Greek","Please add/check Greek wording"
"619","Projects","","Open files and pictures from this area in one place.","","","Needs Greek","Please add/check Greek wording"
"620","General","","Open image preview","","","Needs Greek","Please add/check Greek wording"
"621","General","","Open menu","","","Needs Greek","Please add/check Greek wording"
"622","General","","Open Room","","","Needs Greek","Please add/check Greek wording"
"623","General","","Open Viber","","","Needs Greek","Please add/check Greek wording"
"624","General","","Orchid Ledger","","","Needs Greek","Please add/check Greek wording"
"625","General","","Palatino Linotype","","","Needs Greek","Please add/check Greek wording"
"626","General","","Palette","","","Needs Greek","Please add/check Greek wording"
"627","General","","Paused","","","Needs Greek","Please add/check Greek wording"
"628","General","","Peach Paper","","","Needs Greek","Please add/check Greek wording"
"629","General","","Permanent Delete","","","Needs Greek","Please add/check Greek wording"
"630","Team Members","","Permission Matrix","","","Needs Greek","Please add/check Greek wording"
"631","Team Members","","permission-cell permission-role-cell","","","Needs Greek","Please add/check Greek wording"
"632","Team Members","","permission-expand-card permission-role-defaults","","","Needs Greek","Please add/check Greek wording"
"633","Team Members","","permission-expand-card permission-user-matrix-card","","","Needs Greek","Please add/check Greek wording"
"634","Team Members","","permission-expand-summary permission-role-defaults-summary","","","Needs Greek","Please add/check Greek wording"
"635","Team Members","","permission-expand-summary permission-user-matrix-summary","","","Needs Greek","Please add/check Greek wording"
"636","Team Members","","permission-matrix-table permission-role-defaults-table","","","Needs Greek","Please add/check Greek wording"
"637","Team Members","","Permissions","","","Needs Greek","Please add/check Greek wording"
"638","General","","Phone missing or invalid (+43... format)","","","Needs Greek","Please add/check Greek wording"
"639","Projects","","Photo Captured","","","Needs Greek","Please add/check Greek wording"
"640","Projects","","Photo name","","","Needs Greek","Please add/check Greek wording"
"641","Projects","","Photo Upload","","","Needs Greek","Please add/check Greek wording"
"642","Projects","","Photo Uploaded","","","Needs Greek","Please add/check Greek wording"
"643","Projects","","photo-item-preview image-open-trigger","","","Needs Greek","Please add/check Greek wording"
"644","Projects","","Photos","Φωτογραφίες","","Proposal",""
"645","Projects","","Photos, Files, Notes","","","Needs Greek","Please add/check Greek wording"
"646","General","","Pi.AR","","","Needs Greek","Please add/check Greek wording"
"647","Projects","","Pick a free team and assign it to this project.","","","Needs Greek","Please add/check Greek wording"
"648","General","","Pick one of 20 ready-made combinations.","","","Needs Greek","Please add/check Greek wording"
"649","General","","Pics","","","Needs Greek","Please add/check Greek wording"
"650","General","","Picture","","","Needs Greek","Please add/check Greek wording"
"651","General","","Picture Disconnected From Item","","","Needs Greek","Please add/check Greek wording"
"652","General","","Picture group name (optional)","","","Needs Greek","Please add/check Greek wording"
"653","General","","Pine Ledger","","","Needs Greek","Please add/check Greek wording"
"654","Projects","","Plan Information","","","Needs Greek","Please add/check Greek wording"
"655","Planner","","Planner","Προγραμματισμός","","Proposal",""
"656","Planner","","Planner Assignment Created","","","Needs Greek","Please add/check Greek wording"
"657","Planner","","Planner Assignment Deleted","","","Needs Greek","Please add/check Greek wording"
"658","Planner","","Planner Assignment Updated","","","Needs Greek","Please add/check Greek wording"
"659","Projects","","Plans view","","","Needs Greek","Please add/check Greek wording"
"660","Projects","","Please add an Area name.","","","Needs Greek","Please add/check Greek wording"
"661","Equipment","","Please add an equipment name and choose a category.","","","Needs Greek","Please add/check Greek wording"
"662","Team Members","","Please choose a member and a due date for the task.","","","Needs Greek","Please add/check Greek wording"
"663","Projects","","Please choose a Service Team and a due date for the task.","","","Needs Greek","Please add/check Greek wording"
"664","Team Members","","Please choose a Service Team name and at least one team member.","","","Needs Greek","Please add/check Greek wording"
"665","Projects","","Please choose a team, a project, and a date.","","","Needs Greek","Please add/check Greek wording"
"666","Equipment","","Please enter a category name.","","","Needs Greek","Please add/check Greek wording"
"667","AI Assistant","","Please fill in name, surname, telephone number, and email before adding the member.","","","Needs Greek","Please add/check Greek wording"
"668","Projects","","Please give a name or select one area before continuing.","","","Needs Greek","Please add/check Greek wording"
"669","General","","Please name the picture before taking it.","","","Needs Greek","Please add/check Greek wording"
"670","AI Assistant","","Plum Draft","","","Needs Greek","Please add/check Greek wording"
"671","General","","Plumbing tools","","","Needs Greek","Please add/check Greek wording"
"672","General","","Preview","","","Needs Greek","Please add/check Greek wording"
"673","General","","Preview image","","","Needs Greek","Please add/check Greek wording"
"674","Projects","","primary-btn project-chat-send-btn","","","Needs Greek","Please add/check Greek wording"
"675","Projects","","progress-strip task-entry-photo-strip","","","Needs Greek","Please add/check Greek wording"
"676","Projects","","Project","Έργο","","Proposal",""
"677","AI Assistant","","Project and client details will appear here.","","","Needs Greek","Please add/check Greek wording"
"678","Audit Log","","Project Archived","","","Needs Greek","Please add/check Greek wording"
"679","Projects","","Project Call","","","Needs Greek","Please add/check Greek wording"
"680","Projects","","Project chat","","","Needs Greek","Please add/check Greek wording"
"681","Clients","","Project Client Updated","","","Needs Greek","Please add/check Greek wording"
"682","Projects","","Project Communication","","","Needs Greek","Please add/check Greek wording"
"683","Projects","","Project context","","","Needs Greek","Please add/check Greek wording"
"684","AI Assistant","","Project Details","","","Needs Greek","Please add/check Greek wording"
"685","Team Members","","Project manager","Υπεύθυνος έργου","","Proposal",""
"686","Team Members","","Project Manager Workspace","","","Needs Greek","Please add/check Greek wording"
"687","Projects","","Project name","Όνομα έργου","","Proposal",""
"688","Clients","","Project name, project manager, and client are required.","","","Needs Greek","Please add/check Greek wording"
"689","Audit Log","","Project Permanently Deleted","","","Needs Greek","Please add/check Greek wording"
"690","Audit Log","","Project Restored","","","Needs Greek","Please add/check Greek wording"
"691","Projects","","Project Room","","","Needs Greek","Please add/check Greek wording"
"692","Projects","","Project Saved","","","Needs Greek","Please add/check Greek wording"
"693","Projects","","Project Setup","Ρύθμιση έργου","","Proposal",""
"694","Projects","","Project status","Κατάσταση έργου","","Proposal",""
"695","Projects","","Project Tasks","","","Needs Greek","Please add/check Greek wording"
"696","Audit Log","","Project Updated","","","Needs Greek","Please add/check Greek wording"
"697","Audit Log","","Project Viber Room Updated","","","Needs Greek","Please add/check Greek wording"
"698","Projects","","Project workspace style","","","Needs Greek","Please add/check Greek wording"
"699","AI Assistant","","project-chat-draft-preview hidden","","","Needs Greek","Please add/check Greek wording"
"700","Projects","","project-color-swatch service-team-color-swatch","","","Needs Greek","Please add/check Greek wording"
"701","Projects","","Projects","Έργα","","Proposal",""
"702","General","","Quick Add","","","Needs Greek","Please add/check Greek wording"
"703","General","","Quick comments tied to this Service Team.","","","Needs Greek","Please add/check Greek wording"
"704","Projects","","Quick task overview for the current project.","","","Needs Greek","Please add/check Greek wording"
"705","General","","ready over","","","Needs Greek","Please add/check Greek wording"
"706","General","","Real live team calls need backend/WebRTC integration. The chat workspace is ready for that next step.","","","Needs Greek","Please add/check Greek wording"
"707","Projects","","Real live video calls for a whole project or team need backend/WebRTC integration. The chat workspace is ready for that next step.","","","Needs Greek","Please add/check Greek wording"
"708","Projects","","Reduce project panels","","","Needs Greek","Please add/check Greek wording"
"709","General","","Reference / ID","","","Needs Greek","Please add/check Greek wording"
"710","General","","Remove","","","Needs Greek","Please add/check Greek wording"
"711","General","","Reopen Works","","","Needs Greek","Please add/check Greek wording"
"712","Clients","","Responsible","","","Needs Greek","Please add/check Greek wording"
