"key","en","de","el"
"only.admins.or.assigned.managers.can.create.areas","Only admins or assigned managers can create Areas.","",""
"only.admins.or.assigned.managers.can.create.service.teams","Only admins or assigned managers can create Service Teams.","",""
"only.admins.or.assigned.managers.can.create.tasks.for.areas","Only admins or assigned managers can create tasks for areas.","",""
"only.admins.or.assigned.managers.can.create.tasks","Only admins or assigned managers can create tasks.","",""
"only.admins.or.assigned.managers.can.disconnect.pictures.fro","Only admins or assigned managers can disconnect pictures from items.","",""
"only.admins.or.assigned.managers.can.disconnect.service.team","Only admins or assigned managers can disconnect Service Teams from Areas.","",""
"only.admins.or.assigned.managers.can.disconnect.service.team.2","Only admins or assigned managers can disconnect Service Teams from items.","",""
"only.admins.or.assigned.managers.can.edit.areas","Only admins or assigned managers can edit Areas.","",""
"only.admins.or.assigned.managers.can.edit.project.setup","Only admins or assigned managers can edit project setup.","",""
"only.admins.or.assigned.managers.can.edit.service.teams","Only admins or assigned managers can edit Service Teams.","",""
"only.admins.or.assigned.managers.can.mark.chat.messages.as.i","Only admins or assigned managers can mark chat messages as important.","",""
"only.admins.or.assigned.managers.can.restore.archived.areas","Only admins or assigned managers can restore archived Areas.","",""
"only.admins.or.assigned.managers.can.restore.archived.plan.i","Only admins or assigned managers can restore archived plan items.","",""
"only.admins.or.assigned.managers.can.save.areas","Only admins or assigned managers can save Areas.","",""
"only.admins.or.assigned.managers.can.save.service.teams","Only admins or assigned managers can save Service Teams.","",""
"only.admins.or.assigned.project.managers.can.edit.plans","Only admins or assigned project managers can edit Plans.","",""
"only.admins.or.managers.can.create.or.edit.clients","Only admins or managers can create or edit clients.","",""
"only.admins.or.managers.can.edit.clients","Only admins or managers can edit clients.","",""
"only.admins.developers.or.assigned.managers.can.change.this","Only admins, developers, or assigned managers can change this planner entry.","",""
"only.admins.developers.or.assigned.managers.can.delete.this","Only admins, developers, or assigned managers can delete this planner entry.","",""
"only.admins.developers.or.assigned.managers.can.edit.this.pl","Only admins, developers, or assigned managers can edit this planner entry.","",""
"only.admins.managers.or.developers.can.archive.equipment","Only admins, managers, or developers can archive equipment.","",""
"only.admins.managers.or.developers.can.edit.equipment","Only admins, managers, or developers can edit equipment.","",""
"only.admins.managers.or.developers.can.restore.equipment","Only admins, managers, or developers can restore equipment.","",""
"only.admins.managers.or.developers.can.save.equipment","Only admins, managers, or developers can save equipment.","",""
"open","Open","",""
"open.a.project.room.team.room.or.direct.member.chat.attach.p","Open a project room, team room, or direct member chat. Attach pictures or files directly in the conversation.","",""
"open.a.team.to.see.members.linked.areas.files.and.progress","Open a team to see members, linked areas, files, and progress.","",""
"open.files.and.pictures.from.this.area.in.one.place","Open files and pictures from this area in one place.","",""
"open.image.preview","Open image preview","",""
"open.menu","Open menu","",""
"open.room","Open Room","",""
"open.viber","Open Viber","",""
"orchid.ledger","Orchid Ledger","",""
"palatino.linotype","Palatino Linotype","",""
"palette","Palette","",""
"paused","Paused","",""
"peach.paper","Peach Paper","",""
"permanent.delete","Permanent Delete","",""
"permission.matrix","Permission Matrix","",""
"permission.cell.permission.role.cell","permission-cell permission-role-cell","",""
"permission.expand.card.permission.role.defaults","permission-expand-card permission-role-defaults","",""
"permission.expand.card.permission.user.matrix.card","permission-expand-card permission-user-matrix-card","",""
"permission.expand.summary.permission.role.defaults.summary","permission-expand-summary permission-role-defaults-summary","",""
"permission.expand.summary.permission.user.matrix.summary","permission-expand-summary permission-user-matrix-summary","",""
"permission.matrix.table.permission.role.defaults.table","permission-matrix-table permission-role-defaults-table","",""
"permissions","Permissions","",""
"phone.missing.or.invalid.43.format","Phone missing or invalid (+43... format)","",""
"photo.captured","Photo Captured","",""
"photo.name","Photo name","",""
"photo.upload","Photo Upload","",""
"photo.uploaded","Photo Uploaded","",""
"photo.item.preview.image.open.trigger","photo-item-preview image-open-trigger","",""
"photos","Photos","",""
"photos.files.notes","Photos, Files, Notes","",""
"pi.ar","Pi.AR","",""
"pick.a.free.team.and.assign.it.to.this.project","Pick a free team and assign it to this project.","",""
"pick.one.of.20.ready.made.combinations","Pick one of 20 ready-made combinations.","",""
"pics","Pics","",""
"picture","Picture","",""
"picture.disconnected.from.item","Picture Disconnected From Item","",""
"picture.group.name.optional","Picture group name (optional)","",""
"pine.ledger","Pine Ledger","",""
"plan.information","Plan Information","",""
"planner","Planner","",""
"planner.assignment.created","Planner Assignment Created","",""
"planner.assignment.deleted","Planner Assignment Deleted","",""
"planner.assignment.updated","Planner Assignment Updated","",""
"plans.view","Plans view","",""
"please.add.an.area.name","Please add an Area name.","",""
"please.add.an.equipment.name.and.choose.a.category","Please add an equipment name and choose a category.","",""
"please.choose.a.member.and.a.due.date.for.the.task","Please choose a member and a due date for the task.","",""
"please.choose.a.service.team.and.a.due.date.for.the.task","Please choose a Service Team and a due date for the task.","",""
"please.choose.a.service.team.name.and.at.least.one.team.memb","Please choose a Service Team name and at least one team member.","",""
"please.choose.a.team.a.project.and.a.date","Please choose a team, a project, and a date.","",""
"please.enter.a.category.name","Please enter a category name.","",""
"please.fill.in.name.surname.telephone.number.and.email.befor","Please fill in name, surname, telephone number, and email before adding the member.","",""
"please.give.a.name.or.select.one.area.before.continuing","Please give a name or select one area before continuing.","",""
"please.name.the.picture.before.taking.it","Please name the picture before taking it.","",""
"plum.draft","Plum Draft","",""
"plumbing.tools","Plumbing tools","",""
"preview","Preview","",""
"preview.image","Preview image","",""
"primary.btn.project.chat.send.btn","primary-btn project-chat-send-btn","",""
"progress.strip.task.entry.photo.strip","progress-strip task-entry-photo-strip","",""
"project","Project","",""
"project.and.client.details.will.appear.here","Project and client details will appear here.","",""
"project.archived","Project Archived","",""
"project.call","Project Call","",""
"project.chat","Project chat","",""
"project.client.updated","Project Client Updated","",""
"project.communication","Project Communication","",""
"project.context","Project context","",""
"project.details","Project Details","",""
"project.manager","Project manager","",""
"project.manager.workspace","Project Manager Workspace","",""
"project.name","Project name","",""
"project.name.project.manager.and.client.are.required","Project name, project manager, and client are required.","",""
"project.permanently.deleted","Project Permanently Deleted","",""
"project.restored","Project Restored","",""
"project.room","Project Room","",""
"project.saved","Project Saved","",""
"project.setup","Project Setup","",""
"project.status","Project status","",""
"project.tasks","Project Tasks","",""
"project.updated","Project Updated","",""
"project.viber.room.updated","Project Viber Room Updated","",""
"project.workspace.style","Project workspace style","",""
"project.chat.draft.preview.hidden","project-chat-draft-preview hidden","",""
"project.color.swatch.service.team.color.swatch","project-color-swatch service-team-color-swatch","",""
"projects","Projects","",""
"quick.add","Quick Add","",""
"quick.comments.tied.to.this.service.team","Quick comments tied to this Service Team.","",""
"quick.task.overview.for.the.current.project","Quick task overview for the current project.","",""
"ready.over","ready over","",""
"real.live.team.calls.need.backend.webrtc.integration.the.cha","Real live team calls need backend/WebRTC integration. The chat workspace is ready for that next step.","",""
"real.live.video.calls.for.a.whole.project.or.team.need.backe","Real live video calls for a whole project or team need backend/WebRTC integration. The chat workspace is ready for that next step.","",""
"reduce.project.panels","Reduce project panels","",""
"reference.id","Reference / ID","",""
"remove","Remove","",""
"reopen.works","Reopen Works","",""
"responsible","Responsible","",""
"responsible.persons","Responsible Persons","",""
"rgba.102.151.173.0.42","rgba(102, 151, 173, 0.42)","",""
"rgba.112.119.125.0.42","rgba(112, 119, 125, 0.42)","",""
"rgba.112.132.148.0.42","rgba(112, 132, 148, 0.42)","",""
"rgba.116.121.134.0.42","rgba(116, 121, 134, 0.42)","",""
"rgba.13.122.115.0.12","rgba(13, 122, 115, 0.12)","",""
"rgba.133.155.58.0.14","rgba(133, 155, 58, 0.14)","",""
"rgba.138.105.145.0.42","rgba(138, 105, 145, 0.42)","",""
"rgba.141.160.84.0.42","rgba(141, 160, 84, 0.42)","",""
"rgba.142.92.152.0.14","rgba(142, 92, 152, 0.14)","",""
"rgba.142.99.185.0.14","rgba(142, 99, 185, 0.14)","",""
"rgba.149.112.186.0.42","rgba(149, 112, 186, 0.42)","",""
"rgba.155.107.71.0.14","rgba(155, 107, 71, 0.14)","",""
"rgba.161.121.92.0.44","rgba(161, 121, 92, 0.44)","",""
"rgba.168.100.148.0.42","rgba(168, 100, 148, 0.42)","",""
"rgba.178.77.147.0.14","rgba(178, 77, 147, 0.14)","",""
"rgba.192.103.134.0.14","rgba(192, 103, 134, 0.14)","",""
"rgba.192.118.144.0.42","rgba(192, 118, 144, 0.42)","",""
"rgba.198.117.82.0.46","rgba(198, 117, 82, 0.46)","",""
"rgba.199.106.61.0.14","rgba(199, 106, 61, 0.14)","",""
"rgba.200.117.96.0.42","rgba(200, 117, 96, 0.42)","",""
"rgba.202.162.84.0.42","rgba(202, 162, 84, 0.42)","",""
"rgba.208.146.96.0.5","rgba(208, 146, 96, 0.5)","",""
"rgba.208.154.47.0.14","rgba(208, 154, 47, 0.14)","",""
"rgba.209.110.85.0.14","rgba(209, 110, 85, 0.14)","",""
"rgba.216.151.113.0.42","rgba(216, 151, 113, 0.42)","",""
"rgba.219.139.93.0.14","rgba(219, 139, 93, 0.14)","",""
"rgba.226.241.243.0.84","rgba(226, 241, 243, 0.84)","",""
"rgba.227.243.245.0.82","rgba(227, 243, 245, 0.82)","",""
"rgba.227.244.237.0.82","rgba(227, 244, 237, 0.82)","",""
"rgba.228.243.237.0.84","rgba(228, 243, 237, 0.84)","",""
"rgba.229.241.247.0.82","rgba(229, 241, 247, 0.82)","",""
"rgba.230.239.233.0.84","rgba(230, 239, 233, 0.84)","",""
"rgba.230.241.232.0.82","rgba(230, 241, 232, 0.82)","",""
"rgba.231.240.235.0.82","rgba(231, 240, 235, 0.82)","",""
"rgba.231.242.248.0.84","rgba(231, 242, 248, 0.84)","",""
"rgba.232.236.247.0.82","rgba(232, 236, 247, 0.82)","",""
"rgba.232.237.242.0.82","rgba(232, 237, 242, 0.82)","",""
"rgba.232.237.246.0.84","rgba(232, 237, 246, 0.84)","",""
"rgba.232.237.247.0.84","rgba(232, 237, 247, 0.84)","",""
"rgba.232.244.250.0.82","rgba(232, 244, 250, 0.82)","",""
"rgba.233.235.236.0.84","rgba(233, 235, 236, 0.84)","",""
"rgba.233.238.243.0.84","rgba(233, 238, 243, 0.84)","",""
"rgba.233.238.247.0.82","rgba(233, 238, 247, 0.82)","",""
"rgba.233.244.248.0.84","rgba(233, 244, 248, 0.84)","",""
"rgba.234.235.238.0.84","rgba(234, 235, 238, 0.84)","",""
"rgba.234.243.233.0.84","rgba(234, 243, 233, 0.84)","",""
"rgba.235.237.238.0.82","rgba(235, 237, 238, 0.82)","",""
"rgba.236.237.240.0.82","rgba(236, 237, 240, 0.82)","",""
"rgba.236.241.224.0.84","rgba(236, 241, 224, 0.84)","",""
"rgba.237.242.225.0.82","rgba(237, 242, 225, 0.82)","",""
"rgba.237.249.250.0.88","rgba(237, 249, 250, 0.88)","",""
"rgba.239.246.244.0.78","rgba(239, 246, 244, 0.78)","",""
"rgba.239.249.245.0.88","rgba(239, 249, 245, 0.88)","",""
"rgba.240.232.240.0.82","rgba(240, 232, 240, 0.82)","",""
"rgba.240.232.240.0.84","rgba(240, 232, 240, 0.84)","",""
"rgba.240.233.248.0.82","rgba(240, 233, 248, 0.82)","",""
"rgba.240.247.242.0.88","rgba(240, 247, 242, 0.88)","",""
"rgba.241.233.247.0.84","rgba(241, 233, 247, 0.84)","",""
"rgba.241.244.252.0.88","rgba(241, 244, 252, 0.88)","",""
"rgba.241.245.252.0.88","rgba(241, 245, 252, 0.88)","",""
"rgba.241.248.251.0.88","rgba(241, 248, 251, 0.88)","",""
"rgba.241.249.253.0.88","rgba(241, 249, 253, 0.88)","",""
"rgba.242.246.249.0.88","rgba(242, 246, 249, 0.88)","",""
"rgba.243.245.245.0.88","rgba(243, 245, 245, 0.88)","",""
"rgba.243.249.242.0.88","rgba(243, 249, 242, 0.88)","",""
"rgba.244.235.227.0.82","rgba(244, 235, 227, 0.82)","",""
"rgba.244.236.229.0.84","rgba(244, 236, 229, 0.84)","",""
"rgba.245.232.243.0.84","rgba(245, 232, 243, 0.84)","",""
"rgba.245.246.248.0.88","rgba(245, 246, 248, 0.88)","",""
"rgba.246.232.243.0.82","rgba(246, 232, 243, 0.82)","",""
"rgba.246.238.216.0.84","rgba(246, 238, 216, 0.84)","",""
"rgba.246.249.238.0.88","rgba(246, 249, 238, 0.88)","",""
"rgba.246.253.253.0.88","rgba(246, 253, 253, 0.88)","",""
"rgba.247.232.238.0.82","rgba(247, 232, 238, 0.82)","",""
"rgba.247.232.238.0.84","rgba(247, 232, 238, 0.84)","",""
"rgba.247.234.229.0.84","rgba(247, 234, 229, 0.84)","",""
"rgba.247.239.219.0.82","rgba(247, 239, 219, 0.82)","",""
"rgba.247.253.250.0.88","rgba(247, 253, 250, 0.88)","",""
"rgba.248.235.231.0.82","rgba(248, 235, 231, 0.82)","",""
"rgba.248.236.228.0.84","rgba(248, 236, 228, 0.84)","",""
"rgba.248.243.248.0.88","rgba(248, 243, 248, 0.88)","",""
"rgba.248.243.252.0.88","rgba(248, 243, 252, 0.88)","",""
"rgba.248.252.249.0.88","rgba(248, 252, 249, 0.88)","",""
"rgba.248.252.255.0.88","rgba(248, 252, 255, 0.88)","",""
"rgba.249.236.226.0.8","rgba(249, 236, 226, 0.8)","",""
"rgba.249.250.255.0.88","rgba(249, 250, 255, 0.88)","",""
"rgba.249.251.253.0.88","rgba(249, 251, 253, 0.88)","",""
"rgba.249.251.255.0.88","rgba(249, 251, 255, 0.88)","",""
"rgba.249.253.248.0.88","rgba(249, 253, 248, 0.88)","",""
"rgba.249.253.255.0.88","rgba(249, 253, 255, 0.88)","",""
"rgba.250.239.232.0.82","rgba(250, 239, 232, 0.82)","",""
"rgba.251.252.252.0.88","rgba(251, 252, 252, 0.88)","",""
"rgba.252.239.229.0.84","rgba(252, 239, 229, 0.84)","",""
"rgba.252.242.246.0.88","rgba(252, 242, 246, 0.88)","",""
"rgba.252.242.250.0.88","rgba(252, 242, 250, 0.88)","",""
"rgba.252.246.240.0.88","rgba(252, 246, 240, 0.88)","",""
"rgba.252.247.236.0.88","rgba(252, 247, 236, 0.88)","",""
"rgba.252.249.252.0.88","rgba(252, 249, 252, 0.88)","",""
"rgba.252.249.255.0.88","rgba(252, 249, 255, 0.88)","",""
"rgba.252.252.253.0.88","rgba(252, 252, 253, 0.88)","",""
"rgba.252.253.247.0.88","rgba(252, 253, 247, 0.88)","",""
"rgba.253.243.240.0.88","rgba(253, 243, 240, 0.88)","",""
"rgba.254.246.241.0.88","rgba(254, 246, 241, 0.88)","",""
"rgba.255.247.240.0.88","rgba(255, 247, 240, 0.88)","",""
"rgba.255.249.247.0.88","rgba(255, 249, 247, 0.88)","",""
"rgba.255.249.251.0.88","rgba(255, 249, 251, 0.88)","",""
"rgba.255.249.254.0.88","rgba(255, 249, 254, 0.88)","",""
"rgba.255.250.242.0.82","rgba(255, 250, 242, 0.82)","",""
"rgba.255.250.245.0.88","rgba(255, 250, 245, 0.88)","",""
"rgba.255.251.247.0.88","rgba(255, 251, 247, 0.88)","",""
"rgba.255.251.248.0.88","rgba(255, 251, 248, 0.88)","",""
"rgba.255.252.246.0.88","rgba(255, 252, 246, 0.88)","",""
"rgba.255.252.247.0.86","rgba(255, 252, 247, 0.86)","",""
"rgba.255.255.255.0.16","rgba(255, 255, 255, 0.16)","",""
"rgba.255.255.255.0.26","rgba(255, 255, 255, 0.26)","",""
"rgba.30.44.52.0.12","rgba(30, 44, 52, 0.12)","",""
"rgba.31.149.160.0.14","rgba(31, 149, 160, 0.14)","",""
"rgba.31.42.42.0.12","rgba(31, 42, 42, 0.12)","",""
"rgba.32.39.61.0.12","rgba(32, 39, 61, 0.12)","",""
"rgba.32.48.40.0.12","rgba(32, 48, 40, 0.12)","",""
"rgba.32.49.61.0.12","rgba(32, 49, 61, 0.12)","",""
"rgba.32.50.45.0.12","rgba(32, 50, 45, 0.12)","",""
"rgba.32.50.54.0.12","rgba(32, 50, 54, 0.12)","",""
"rgba.33.40.44.0.12","rgba(33, 40, 44, 0.12)","",""
"rgba.34.48.38.0.12","rgba(34, 48, 38, 0.12)","",""
"rgba.34.48.58.0.12","rgba(34, 48, 58, 0.12)","",""
"rgba.35.43.59.0.12","rgba(35, 43, 59, 0.12)","",""
"rgba.36.40.49.0.12","rgba(36, 40, 49, 0.12)","",""
"rgba.43.122.154.0.14","rgba(43, 122, 154, 0.14)","",""
"rgba.43.36.50.0.12","rgba(43, 36, 50, 0.12)","",""
"rgba.43.49.32.0.12","rgba(43, 49, 32, 0.12)","",""
"rgba.45.38.31.0.12","rgba(45, 38, 31, 0.12)","",""
"rgba.46.37.48.0.12","rgba(46, 37, 48, 0.12)","",""
"rgba.47.165.127.0.14","rgba(47, 165, 127, 0.14)","",""
"rgba.48.35.31.0.12","rgba(48, 35, 31, 0.12)","",""
"rgba.51.35.50.0.12","rgba(51, 35, 50, 0.12)","",""
"rgba.51.41.24.0.12","rgba(51, 41, 24, 0.12)","",""
"rgba.52.37.43.0.12","rgba(52, 37, 43, 0.12)","",""
"rgba.52.39.34.0.12","rgba(52, 39, 34, 0.12)","",""
"rgba.52.42.35.0.12","rgba(52, 42, 35, 0.12)","",""
"rgba.60.140.197.0.14","rgba(60, 140, 197, 0.14)","",""
"rgba.61.122.96.0.14","rgba(61, 122, 96, 0.14)","",""
"rgba.69.106.194.0.14","rgba(69, 106, 194, 0.14)","",""
"rgba.74.90.100.0.14","rgba(74, 90, 100, 0.14)","",""
"rgba.75.112.143.0.14","rgba(75, 112, 143, 0.14)","",""
"rgba.75.98.179.0.14","rgba(75, 98, 179, 0.14)","",""
"rgba.77.124.103.0.42","rgba(77, 124, 103, 0.42)","",""
"rgba.78.160.168.0.42","rgba(78, 160, 168, 0.42)","",""
"rgba.79.138.92.0.14","rgba(79, 138, 92, 0.14)","",""
"rgba.89.136.97.0.44","rgba(89, 136, 97, 0.44)","",""
"rgba.92.117.176.0.42","rgba(92, 117, 176, 0.42)","",""
"rgba.92.164.139.0.42","rgba(92, 164, 139, 0.42)","",""
"rgba.93.150.197.0.42","rgba(93, 150, 197, 0.42)","",""
"rgba.94.102.120.0.14","rgba(94, 102, 120, 0.14)","",""
"rgba.94.110.170.0.42","rgba(94, 110, 170, 0.42)","",""
"role.permission.template.updated","Role Permission Template Updated","",""
"role.permission.templates","Role Permission Templates","",""
"role.permissions","Role Permissions","",""
"room.id","Room id","",""
"room.link","Room link","",""
"room.status","Room status","",""
"rose.office","Rose Office","",""
"sandstone.calm","Sandstone Calm","",""
"save","Save","",""
"save.assignment","Save assignment","",""
"save.category","Save category","",""
"save.changes","Save changes","",""
"save.client","Save client","",""
"save.comment","Save comment","",""
"save.equipment","Save equipment","",""
"save.project","Save project","",""
"save.task","Save task","",""
"save.the.service.team.first.to.add.notes.files.or.photos","Save the Service Team first to add notes, files, or photos.","",""
"schedule.team","Schedule Team","",""
"search","Search","",""
"secondary.btn.add.plus.btn","secondary-btn add-plus-btn","",""
"section.view","Section view","",""
"segmented.toggle.inline.section.view.toggle","segmented-toggle inline-section-view-toggle","",""
"segmented.toggle.inline.section.view.toggle.area.scope.toggl","segmented-toggle inline-section-view-toggle area-scope-toggle","",""
"segoe.ui","Segoe UI","",""
"select.a.category.to.filter.the.list.admin.can.create.or.edi","Select a category to filter the list. Admin can create or edit categories here.","",""
"select.a.client.on.the.left.to.open.the.details","Select a client on the left to open the details.","",""
"select.a.member.on.the.left.to.open.the.details","Select a member on the left to open the details.","",""
"select.an.area.tab.to.open.notes.files.and.photos","Select an area tab to open Notes, Files, and Photos.","",""
"select.equipment.on.the.left.to.open.the.details","Select equipment on the left to open the details.","",""
"select.one.or.more.members.use.position.and.experience.to.fi","Select one or more members. Use Position and Experience to filter the list.","",""
"select.photos","Select photos","",""
"select.pic","Select pic","",""
"selected.team","selected team","",""
"service.team","Service Team","",""
"service.team.archived","Service Team Archived","",""
"service.team.created","Service Team Created","",""
"service.team.disconnected.from.area","Service Team Disconnected From Area","",""
"service.team.disconnected.from.item","Service Team Disconnected From Item","",""
"service.team.linked.to.area","Service Team Linked To Area","",""
"service.team.linked.to.item","Service Team Linked To Item","",""
"service.team.name","Service Team name","",""
"service.team.permanently.deleted","Service Team Permanently Deleted","",""
"service.team.restored","Service Team Restored","",""
"service.team.updated","Service Team Updated","",""
"session.user.changed","Session User Changed","",""
"set.completed","Set Completed","",""
"show.archived","Show Archived","",""
"show.archived.elements","Show archived elements","",""
"show.original.file.name","Show original file name","",""
"show.users.in.matrix","Show users in matrix","",""
"site.snapshots.and.proof.photos","Site snapshots and proof photos.","",""
"size","Size","",""
"skyline.work","Skyline Work","",""
"slate.studio","Slate Studio","",""
"sort.team","Sort: Team","",""
"sort.upload.time","Sort: Upload time","",""
"speak.in.greek.finish.with.the.magic.words.ready.over.so.i.k","Speak in Greek. Finish with the magic words ""Ready over"" so I know your speech is ready.","",""
"speech.parsed","Speech Parsed","",""
"speech.recognition.is.not.supported.in.this.browser","Speech recognition is not supported in this browser.","",""
"start","Start","",""
"start.date","Start date","",""
"start.listening","Start listening","",""
"start.with.team.members.create.the.first.admin.or.manager.th","Start with Team Members, create the first admin or manager, then add the first project.","",""
"started","Started","",""
"status","Status","",""
"store.contracts.drawings.notes.and.pictures.for.this.project","Store contracts, drawings, notes, and pictures for this project here.","",""
"surname","Surname","",""
"tahoma.sans.serif","Tahoma, sans-serif","",""
"take.photo","Take Photo","",""
"take.pic","Take pic","",""
"task.created","Task Created","",""
"task.saved","Task Saved","",""
"task.title","Task title","",""
"tasks","Tasks","",""
"tasks.are.limited","Tasks are limited","",""
"tasks.for.the.currently.selected.project","Tasks for the currently selected project","",""
"team","Team","",""
"team.call","Team Call","",""
"team.color","Team Color","",""
"team.member","Team member","",""
"team.members","Team Members","",""
"team.scheduling","Team Scheduling","",""
"tel","Tel","",""
"telephone","Telephone","",""
"text.plain","text/plain","",""
"text.service.team.id","text/service-team-id","",""
"the.quick.brown.fox.jumps.over.the.lazy.dog.1234567890","The quick brown fox jumps over the lazy dog. 1234567890","",""
"the.selected.project.is.not.open.on.this.date","The selected project is not open on this date.","",""
"theme","Theme","",""
"theme.studio","Theme Studio","",""
"there.are.no.active.projects.for.this.date","There are no active projects for this date.","",""
"there.are.no.active.projects.for.this.day","There are no active projects for this day.","",""
"this.archived.project","this archived project","",""
"this.category","this category","",""
"this.equipment.category.already.exists","This equipment category already exists.","",""
"this.message.is.already.copied.into.notes","This message is already copied into Notes.","",""
"this.team.already.has.saved.content.you.cannot.delete.it.per","This team already has saved content. You cannot delete it permanently, but you can make it inactive.","",""
"this.team.is.already.planned.in.another.project.during.that","This team is already planned in another project during that time.","",""
"this.week","This Week","",""
"tick.one.or.more.areas.to.connect.uploaded.photos.with.parts","Tick one or more areas to connect uploaded photos with parts of the project.","",""
"times.new.roman","Times New Roman","",""
"today","Today","",""
"toggle.icon.toggle.icon.grid","toggle-icon toggle-icon-grid","",""
"toggle.icon.toggle.icon.list","toggle-icon toggle-icon-list","",""
"track.who.changed.what.when.they.did.it.and.whether.it.was.a","Track who changed what, when they did it, and whether it was archived, restored, or permanently deleted.","",""
"trebuchet.ms","Trebuchet MS","",""
"typography","Typography","",""
"uid","UID","",""
"uid.number","UID Number","",""
"unknown.user","Unknown user","",""
"unnamed.area","Unnamed area","",""
"unnamed.client","Unnamed client","",""
"unnamed.person","Unnamed person","",""
"unnamed.team","Unnamed team","",""
"untitled.comment","Untitled comment","",""
"untitled.file","Untitled file","",""
"untitled.item","Untitled item","",""
"untitled.project","Untitled project","",""
"untitled.task","Untitled task","",""
"update.task.status.open.started.paused.or.done","Update task status: Open, Started, Paused, or Done","",""
"upload.files.and.photos","Upload files and photos","",""
"upload.pdfs.docs.and.reference.images","Upload PDFs, docs, and reference images.","",""
"upload.photos","Upload Photos","",""
"upload.pictures","Upload Pictures","",""
"upload.project.or.contract.related.pictures.here","Upload project or contract-related pictures here.","",""
"upload.project.plans.pdfs.contracts.or.reference.files.here","Upload project plans, PDFs, contracts, or reference files here.","",""
"use.real.dates.to.keep.free.teams.at.the.top.and.assign.them","Use real dates to keep free teams at the top and assign them into open projects below.","",""
"use.the.button.in.the.left.teams.rail.to.create.a.new.team.o","Use the + button in the left Teams rail to create a new team. Open a team here to see members, linked areas, files, and progress.","",""
"use.transcript.and.summary","Use transcript and summary","",""
"user","User","",""
"user.login","User login","",""
"user.type","User type","",""
"users","Users","",""
"verdana.sans.serif","Verdana, sans-serif","",""
"very.large","Very Large","",""
"very.small","Very Small","",""
"viber.creating","Viber Creating","",""
"viber.failed","Viber Failed","",""
"viber.room","Viber Room","",""
"viber.room.settings.saved.for.this.project","Viber room settings saved for this project.","",""
"video.call","Video Call","",""
"view.all.project.tasks","View all project tasks","",""
"view.own.assigned.tasks","View own assigned tasks","",""
"week","Week","",""
"what.do.you.want.to.add","What do you want to add?","",""
"where.area","Where (Area)","",""
"work.with.clients.in.one.combined.workspace.the.selected.cli","Work with clients in one combined workspace. The selected client opens directly inside the same flow.","",""
"workspace.color","Workspace color","",""
"workspace.preview","Workspace preview","",""
"workspace.tab.add.tab","workspace-tab add-tab","",""
"workspace.tab.project.details.area.tab","workspace-tab project-details-area-tab","",""
"workspace.tab.project.details.team.tab","workspace-tab project-details-team-tab","",""
"write.a.message.or.attach.at.least.one.file","Write a message or attach at least one file.","",""
"yes","Yes","",""
"you.can.delete.only.items.you.created.other.deletes.are.admi","You can delete only items you created. Other deletes are admin-only.","",""
"you.can.read.messages.but.you.cannot.send.in.this.project","You can read messages, but you cannot send in this project.","",""
"you.cannot.change.the.permissions.for.your.current.role","You cannot change the permissions for your current role.","",""
"you.cannot.change.your.own.permissions","You cannot change your own permissions.","",""
"you.cannot.change.your.own.role","You cannot change your own role.","",""
"you.cannot.change.your.own.user.type","You cannot change your own user type.","",""
"you.cannot.deactivate.your.own.account","You cannot deactivate your own account.","",""
"you.cannot.permanently.delete.your.own.account","You cannot permanently delete your own account.","",""
"you.do.not.have.access.to.add.comments.here","You do not have access to add comments here.","",""
"you.do.not.have.access.to.add.comments.in.this.area","You do not have access to add comments in this area.","",""
"you.do.not.have.access.to.add.files.or.photos.in.this.projec","You do not have access to add files or photos in this project.","",""
"you.do.not.have.access.to.add.files.or.photos.in.this.servic","You do not have access to add files or photos in this service team.","",""
"you.do.not.have.access.to.add.notes.in.this.service.team","You do not have access to add notes in this service team.","",""
"you.do.not.have.access.to.add.photos.here","You do not have access to add photos here.","",""
"you.do.not.have.access.to.save.camera.photos.here","You do not have access to save camera photos here.","",""
"you.do.not.have.access.to.save.comments.here","You do not have access to save comments here.","",""
"you.do.not.have.access.to.upload.files.here","You do not have access to upload files here.","",""
"you.do.not.have.access.to.upload.files.or.pictures.here","You do not have access to upload files or pictures here.","",""
"you.do.not.have.access.to.use.the.project.camera.upload.here","You do not have access to use the project camera upload here.","",""
"you.do.not.have.permission.to.archive.this.item","You do not have permission to archive this item.","",""
"you.do.not.have.permission.to.assign.members.to.projects","You do not have permission to assign members to projects.","",""
"you.do.not.have.permission.to.change.roles","You do not have permission to change roles.","",""
"you.do.not.have.permission.to.change.this.file.display","You do not have permission to change this file display.","",""
"you.do.not.have.permission.to.complete.this.area","You do not have permission to complete this area.","",""
"you.do.not.have.permission.to.create.admins","You do not have permission to create admins.","",""
"you.do.not.have.permission.to.create.members","You do not have permission to create members.","",""
"you.do.not.have.permission.to.create.projects","You do not have permission to create projects.","",""
"you.do.not.have.permission.to.deactivate.this.member","You do not have permission to deactivate this member.","",""
"you.do.not.have.permission.to.edit.members","You do not have permission to edit members.","",""
"you.do.not.have.permission.to.edit.this.item","You do not have permission to edit this item.","",""
"you.do.not.have.permission.to.permanently.delete.this.member","You do not have permission to permanently delete this member.","",""
